nadal;projekt;meeskond;roll;autor;kokkuvote_plokk;teema;vaartus;prioriteet;ariline_moju;soovitus_toomasele;puuduvad_andmed;esitlusmarkus
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Kontekst;Töö eesmärk;customers tabeli auditeerimine ja ettevalmistamine puhastamiseks;;Andmete usaldusväärsus enne edasist analüüsi ja aruandlust;Jätkata ranget protsessi: Test → Verify → Log → Commit;;"Iseseisva töö faasis andmeid ei kustutatud; esmalt kaardistati probleemide ulatus."
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Ridade arv;3 150 kliendirida;Kontrollitud;Test-koopia ja originaaltabeli maht ühtisid;Kasutada customers_test tabelit puhastuse testimiseks enne muudatusi originaaltabelis;;Algandmete kaitsmiseks loodi customers_test tabel.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Puuduvad e-mailid;380 kirjet (~12%);Kriitiline;Turunduskampaaniad ei jõua nende klientideni;Leppida kokku äriline strateegia: kas koguda e-mailid aktiivselt või märkida kliendid staatusesse 'e-mail puudub';Puudub info, kas e-mail on teadmata, kehtetu, kliendi poolt mitte antud või turundusnõusolekuta;See on kõige otsesema ärimõjuga probleem kliendikommunikatsiooni vaates.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Duplikaatsed e-mailid;"130 duplikaatset kirjet; 126 e-maili esineb 2 korda ja 2 e-maili esineb 3 korda";Kõrge;Moonutab klientide koguarvu, lojaalsusstatistikat ja kliendibaasi kvaliteedi hinnangut;Puhastada duplikaadid ettevaatlikult ROW_NUMBER() meetodiga pärast ärireeglite kinnitamist;"Puudub kindel reegel, milline duplikaatrida jätta alles; vaja on created_at/updated_at, kliendi aktiivsust, ostuajalugu või süsteemi allikat";Duplikaate ei tohiks automaatselt kustutada ilma otsustusreeglita.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Linnanimede ebakõlad;"SQL näitab 54 erinevat linna; sisuliselt on 12 linna; 42 liigset kirjaviisi; 252 rida (~8%) vajab parandust";Kõrge;Piirkondlik müügianalüüs ja kliendibaasi jaotus on ebausaldusväärsed;Ühtlustada linnanimed INITCAP(TRIM()) abil ning kehtestada sisestusstandard või valikväärtuste loend;Puudub kinnitatud linnade standardnimekiri ja reegel, kuidas käsitleda kirjavigu või võõrkeelseid nimekujusid;Suur vahe SQL-i loogika ja inimloogika vahel: 'Tallinn', ' tallinn' ja 'TALLINN' on SQL-is erinevad väärtused.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Puuduvad nimed;0 kirjet;Puudub;Nimeväljad on auditi põhjal korras;Hoida olemasolev kontroll alles ka edaspidistes kvaliteediraportites;;Kõik nimed olid olemas.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Puuduvad telefonid;0 kirjet;Puudub;Telefoniväljad on auditi põhjal korras;Hoida kontroll alles, kuid fookus suunata e-mailidele, duplikaatidele ja linnanimedele;;Kõik telefoninumbrid olid olemas.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Peamised leiud;Probleemide kogumaht;762 probleemset kirjet (~24,2% kõigist klientidest);Kõrge;Ligikaudu veerand kliendibaasist vajab mingit tüüpi andmekvaliteedi tähelepanu;Koostada puhastuse järjekord prioriteedi ja riski alusel;Vaja on kinnitada, kas probleemid kattuvad samadel klientidel või on need eraldiseisvad juhtumid;Kokku probleemide arv ei pruugi tähendada 762 unikaalset klienti, sest ühel kliendil võib olla mitu probleemi.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Suurim üllatus;SQL loogika vs inimloogika;SQL käsitleb erineva suur- ja väiketähe, tühiku või vormistusega linnanimesid eraldi väärtustena;;Väike tehniline ebakõla võib muuta aruandluses linna- või piirkonnapõhised tulemused valeks;Lisada andmesisestusse automaatne normaliseerimine või lubatud väärtuste valik;;Minu suurim üllatus oli, et näiliselt väike tühik või tähtede erinevus võib aruandluses tekitada kümneid 'uusi' linnu.
Nädal 2;SQL puhastamine — kliendiandmete tervendamine;Operations Intelligence;Kliendiandmete puhastaja (Roll B);Helen Tanner;Soovitused Toomasele;1. Linnanimede ühtlustamine;INITCAP(TRIM(city));Esimene samm;Kiire mõju piirkondlikule aruandlusele ja madal risk;Alustada linnanimede ühtlustamisest testtabelis, kontrollida tulemus ja alles seejärel commit'ida kinnitatud lahendus;Kinnitatud standardnimekiri linnade kohta;Kiire ja suhteliselt ohutu parandus.
