turunduskanal,kliente,tellimusi,kogukaive,myyk_kliendi_kohta
google_organic,1580,5378,8633299.08,5464.11
email_campaign,745,2787,3987955.39,5352.96
tiktok,388,1415,1984428.91,5114.51
direct,1173,3864,5994387.01,5110.30
facebook_ads,1016,3864,5048811.46,4969.30
instagram,801,2664,3406399.64,4252.68
google_ads,586,2050,2326759.40,3970.58
IG,146,589,194611.43,1332.96
google organic,361,1336,480278.38,1330.41
Facebook,175,719,225445.03,1288.26
Google Organic,351,1276,445980.98,1270.60
Google,330,1207,395012.83,1197.01
Facebook Ads,155,545,177141.52,1142.85
google,336,1109,381381.39,1135.06
Instagram,126,490,142177.44,1128.39
Tundmatu / kanal puudub,90,350,96680.99,1074.23
FB,168,551,177806.28,1058.37
instagram_ads,125,423,132207.80,1057.66
ig_ads,139,431,142434.17,1024.71
fb_ads,163,527,154429.06,947.42
