kuu,turunduskanal,kliente,tellimusi,kogukaive
2023-01-01 00:00:00,google_organic,124,139,270041.83
2023-01-01 00:00:00,facebook_ads,96,111,190128.64
2023-01-01 00:00:00,direct,102,108,169343.38
2023-01-01 00:00:00,email_campaign,62,68,97455.50
2023-01-01 00:00:00,instagram,55,57,86126.39
2023-01-01 00:00:00,tiktok,35,40,75906.34
2023-01-01 00:00:00,google_ads,55,61,64095.81
2023-01-01 00:00:00,Google,34,42,20583.30
2023-01-01 00:00:00,google organic,32,34,15747.67
2023-01-01 00:00:00,Google Organic,37,40,12854.15
2023-01-01 00:00:00,google,19,22,8156.32
2023-01-01 00:00:00,FB,21,23,7701.52
2023-01-01 00:00:00,Facebook Ads,15,18,7532.70
2023-01-01 00:00:00,fb_ads,18,21,7335.72
2023-01-01 00:00:00,Facebook,15,18,5380.41
2023-01-01 00:00:00,instagram_ads,10,11,4562.34
2023-01-01 00:00:00,Instagram,12,13,4433.92
2023-01-01 00:00:00,IG,7,8,4358.93
2023-01-01 00:00:00,ig_ads,14,14,4205.72
2023-01-01 00:00:00,Tundmatu / kanal puudub,9,10,2209.90
2023-02-01 00:00:00,google_organic,149,157,238783.31
2023-02-01 00:00:00,direct,101,104,159881.15
2023-02-01 00:00:00,email_campaign,70,80,139625.49
2023-02-01 00:00:00,facebook_ads,86,96,121901.03
2023-02-01 00:00:00,instagram,74,76,113126.53
2023-02-01 00:00:00,google_ads,56,61,68401.73
2023-02-01 00:00:00,tiktok,38,43,54899.67
2023-02-01 00:00:00,google organic,42,44,17159.14
2023-02-01 00:00:00,Google Organic,42,45,16708.17
2023-02-01 00:00:00,Google,36,41,10725.87
2023-02-01 00:00:00,google,29,30,6888.02
2023-02-01 00:00:00,instagram_ads,15,17,6272.35
2023-02-01 00:00:00,FB,13,13,4999.65
2023-02-01 00:00:00,Facebook Ads,17,18,4980.14
2023-02-01 00:00:00,IG,14,18,4781.45
2023-02-01 00:00:00,Facebook,15,17,4734.11
2023-02-01 00:00:00,Instagram,14,15,4662.90
2023-02-01 00:00:00,fb_ads,12,12,3261.67
2023-02-01 00:00:00,Tundmatu / kanal puudub,8,9,2296.43
2023-02-01 00:00:00,ig_ads,8,8,2161.38
2023-03-01 00:00:00,google_organic,170,199,345909.38
2023-03-01 00:00:00,direct,122,137,242627.01
2023-03-01 00:00:00,facebook_ads,121,134,140506.12
2023-03-01 00:00:00,email_campaign,86,97,139407.86
2023-03-01 00:00:00,instagram,87,99,94479.45
2023-03-01 00:00:00,google_ads,54,62,63789.94
2023-03-01 00:00:00,tiktok,43,51,53613.92
2023-03-01 00:00:00,google organic,41,48,21807.46
2023-03-01 00:00:00,google,40,49,18442.15
2023-03-01 00:00:00,Google,40,47,17138.84
2023-03-01 00:00:00,Google Organic,41,51,16090.76
2023-03-01 00:00:00,Instagram,23,27,8901.51
2023-03-01 00:00:00,Facebook,25,29,7373.23
2023-03-01 00:00:00,fb_ads,19,22,5788.28
2023-03-01 00:00:00,Facebook Ads,18,20,5780.52
2023-03-01 00:00:00,IG,20,22,5256.28
2023-03-01 00:00:00,FB,16,17,3199.14
2023-03-01 00:00:00,instagram_ads,15,17,2889.59
2023-03-01 00:00:00,ig_ads,12,12,2650.93
