kuu,turunduskanal,kliente,tellimusi,kogukaive
2023-01-01 00:00:00,google_organic,50,54,19009.69
2023-01-01 00:00:00,facebook_ads,36,46,15717.90
2023-01-01 00:00:00,direct,44,47,13966.11
2023-01-01 00:00:00,unknown,9,32,9294.60
2023-01-01 00:00:00,instagram,18,19,5929.79
2023-01-01 00:00:00,email_campaign,23,24,5903.69
2023-01-01 00:00:00,google_ads,16,17,3739.66
2023-01-01 00:00:00,tiktok,12,14,3291.33
2023-02-01 00:00:00,direct,47,50,17383.24
2023-02-01 00:00:00,google_organic,57,58,16064.19
2023-02-01 00:00:00,facebook_ads,34,43,12114.59
2023-02-01 00:00:00,email_campaign,26,29,11123.64
2023-02-01 00:00:00,unknown,8,31,8249.21
2023-02-01 00:00:00,instagram,25,25,6405.20
2023-02-01 00:00:00,google_ads,19,20,5040.16
2023-02-01 00:00:00,tiktok,10,11,2701.03
2023-02-01 00:00:00,google_unspecified,6,6,616.57
2023-03-01 00:00:00,google_organic,74,86,27555.66
2023-03-01 00:00:00,direct,56,61,17356.44
2023-03-01 00:00:00,facebook_ads,43,48,13884.31
2023-03-01 00:00:00,email_campaign,32,32,9130.73
2023-03-01 00:00:00,instagram,26,33,6150.92
2023-03-01 00:00:00,unknown,9,33,6122.06
2023-03-01 00:00:00,google_ads,18,20,4199.39
2023-03-01 00:00:00,tiktok,12,16,3489.24
2023-03-01 00:00:00,facebook,6,7,968.35
2023-04-01 00:00:00,google_organic,70,77,20252.37
2023-04-01 00:00:00,facebook_ads,40,52,18016.92
2023-04-01 00:00:00,direct,51,53,13787.70
2023-04-01 00:00:00,unknown,8,43,13512.20
2023-04-01 00:00:00,email_campaign,36,38,10536.20
2023-04-01 00:00:00,instagram,28,31,9691.42
2023-04-01 00:00:00,tiktok,18,21,7362.32
2023-04-01 00:00:00,google_ads,14,14,3267.90
2023-04-01 00:00:00,google_unspecified,4,5,1326.44
2023-05-01 00:00:00,google_organic,79,89,25835.81
2023-05-01 00:00:00,facebook_ads,49,64,18049.23
2023-05-01 00:00:00,email_campaign,34,38,12766.91
2023-05-01 00:00:00,direct,44,44,10996.39
2023-05-01 00:00:00,unknown,6,42,8634.86
2023-05-01 00:00:00,instagram,24,25,6393.09
2023-05-01 00:00:00,google_ads,18,19,5146.26
2023-05-01 00:00:00,tiktok,13,13,4501.63
2023-06-01 00:00:00,google_organic,82,97,31325.46
2023-06-01 00:00:00,direct,54,57,19829.20
2023-06-01 00:00:00,unknown,16,67,18870.10
2023-06-01 00:00:00,facebook_ads,39,57,16941.29
2023-06-01 00:00:00,instagram,42,46,13179.27
2023-06-01 00:00:00,email_campaign,36,44,10667.40
2023-06-01 00:00:00,google_ads,22,24,5849.82
2023-06-01 00:00:00,tiktok,15,17,5377.43
2023-06-01 00:00:00,facebook,5,6,2174.53
2023-06-01 00:00:00,google_unspecified,8,8,1168.26
2023-07-01 00:00:00,google_organic,81,83,25096.28
2023-07-01 00:00:00,direct,65,74,22954.11
2023-07-01 00:00:00,unknown,12,58,18114.52
2023-07-01 00:00:00,facebook_ads,43,61,16957.36
2023-07-01 00:00:00,instagram,43,50,12784.85
2023-07-01 00:00:00,email_campaign,39,44,11822.83
2023-07-01 00:00:00,google_ads,27,29,7970.86
2023-07-01 00:00:00,tiktok,16,18,5361.30
2023-07-01 00:00:00,facebook,6,6,1337.78
2023-08-01 00:00:00,google_organic,99,107,31386.15
2023-08-01 00:00:00,direct,60,67,16823.81
2023-08-01 00:00:00,facebook_ads,51,65,15735.20
2023-08-01 00:00:00,email_campaign,44,46,13018.22
2023-08-01 00:00:00,unknown,10,49,12222.79
2023-08-01 00:00:00,google_ads,29,34,11028.17
2023-08-01 00:00:00,instagram,32,34,10844.29
2023-08-01 00:00:00,tiktok,13,16,6514.88
2023-09-01 00:00:00,direct,50,54,17565.83
2023-09-01 00:00:00,google_organic,60,65,15371.06
2023-09-01 00:00:00,unknown,14,48,14856.20
2023-09-01 00:00:00,email_campaign,29,35,13385.45
2023-09-01 00:00:00,facebook_ads,36,48,12353.29
2023-09-01 00:00:00,instagram,25,30,10658.94
2023-09-01 00:00:00,google_ads,22,27,7503.36
2023-09-01 00:00:00,tiktok,13,14,2354.54
2023-10-01 00:00:00,google_organic,84,95,29043.18
2023-10-01 00:00:00,facebook_ads,32,41,15486.91
2023-10-01 00:00:00,email_campaign,34,39,13182.65
2023-10-01 00:00:00,unknown,8,39,10877.77
2023-10-01 00:00:00,direct,37,40,9499.55
2023-10-01 00:00:00,instagram,29,31,6671.59
2023-10-01 00:00:00,google_unspecified,7,8,3238.72
2023-10-01 00:00:00,tiktok,11,14,3181.30
2023-10-01 00:00:00,google_ads,12,13,2293.67
2023-11-01 00:00:00,google_organic,70,71,22501.40
2023-11-01 00:00:00,unknown,12,63,18557.96
2023-11-01 00:00:00,facebook_ads,32,38,14011.04
2023-11-01 00:00:00,direct,49,51,13979.77
2023-11-01 00:00:00,email_campaign,25,32,10382.89
2023-11-01 00:00:00,instagram,23,27,7209.95
2023-11-01 00:00:00,tiktok,14,17,5840.92
2023-11-01 00:00:00,google_ads,18,18,5653.74
2023-12-01 00:00:00,google_organic,95,102,31902.00
2023-12-01 00:00:00,facebook_ads,61,88,23215.77
2023-12-01 00:00:00,unknown,13,60,18123.73
2023-12-01 00:00:00,direct,62,66,16418.64
2023-12-01 00:00:00,instagram,32,38,10957.46
2023-12-01 00:00:00,email_campaign,41,45,10778.65
2023-12-01 00:00:00,google_ads,26,29,8980.29
2023-12-01 00:00:00,tiktok,18,20,5256.84
