turunduskanal,kliente,tellimusi,kogukaive,keskmine_tellimus
google_organic,624,1994,582912.57,292.33
facebook_ads,326,1563,453275.00,290.00
direct,465,1505,420103.22,279.14
Tundmatu / kanal puudub,90,1338,383127.19,286.34
email_campaign,275,1024,300296.85,293.26
instagram,243,822,247965.12,301.66
google_ads,196,664,185438.12,279.27
tiktok,127,463,127929.88,276.31
Google Organic,31,180,52706.38,292.81
google organic,29,99,30826.03,311.37
Google,28,90,24092.14,267.69
Facebook,19,74,20821.59,281.37
google,20,61,17537.17,287.49
FB,13,43,11975.51,278.50
instagram_ads,13,37,10837.59,292.91
Instagram,12,40,10352.74,258.82
fb_ads,14,37,9570.75,258.67
ig_ads,11,34,8527.70,250.81
Facebook Ads,11,35,7087.50,202.50
IG,4,15,3794.93,253.00
