turunduskanal,kliente,tellimusi,kogukaive,myyk_kliendi_kohta,keskmine_tellimus
Tundmatu / kanal puudub,90,1338,383127.19,4256.97,286.34
Google Organic,31,180,52706.38,1700.21,292.81
facebook_ads,326,1563,453275.00,1390.41,290.00
Facebook,19,74,20821.59,1095.87,281.37
email_campaign,275,1024,300296.85,1091.99,293.26
google organic,29,99,30826.03,1062.97,311.37
instagram,243,822,247965.12,1020.43,301.66
tiktok,127,463,127929.88,1007.32,276.31
IG,4,15,3794.93,948.73,253.00
google_ads,196,664,185438.12,946.11,279.27
google_organic,624,1994,582912.57,934.15,292.33
FB,13,43,11975.51,921.19,278.50
direct,465,1505,420103.22,903.45,279.14
google,20,61,17537.17,876.86,287.49
Instagram,12,40,10352.74,862.73,258.82
Google,28,90,24092.14,860.43,267.69
instagram_ads,13,37,10837.59,833.66,292.91
ig_ads,11,34,8527.70,775.25,250.81
fb_ads,14,37,9570.75,683.63,258.67
Facebook Ads,11,35,7087.50,644.32,202.50
