kuu,turunduskanal,kliente,tellimusi,kogukaive
2023-01-01 00:00:00,google_organic,42,46,17381.51
2023-01-01 00:00:00,facebook_ads,32,42,14598.37
2023-01-01 00:00:00,direct,44,47,13966.11
2023-01-01 00:00:00,Tundmatu / kanal puudub,9,32,9294.60
2023-01-01 00:00:00,email_campaign,23,24,5903.69
2023-01-01 00:00:00,instagram,17,18,5460.21
2023-01-01 00:00:00,google_ads,16,17,3739.66
2023-01-01 00:00:00,tiktok,12,14,3291.33
2023-02-01 00:00:00,direct,47,50,17383.24
2023-02-01 00:00:00,google_organic,51,52,14739.79
2023-02-01 00:00:00,facebook_ads,33,42,11554.55
2023-02-01 00:00:00,email_campaign,26,29,11123.64
2023-02-01 00:00:00,Tundmatu / kanal puudub,8,31,8249.21
2023-02-01 00:00:00,instagram,25,25,6405.20
2023-02-01 00:00:00,google_ads,19,20,5040.16
2023-02-01 00:00:00,tiktok,10,11,2701.03
2023-02-01 00:00:00,google organic,6,6,1324.40
2023-03-01 00:00:00,google_organic,67,78,24960.56
2023-03-01 00:00:00,direct,56,61,17356.44
2023-03-01 00:00:00,facebook_ads,38,43,12808.28
2023-03-01 00:00:00,email_campaign,32,32,9130.73
2023-03-01 00:00:00,Tundmatu / kanal puudub,9,33,6122.06
2023-03-01 00:00:00,instagram,24,30,5453.26
2023-03-01 00:00:00,google_ads,18,20,4199.39
2023-03-01 00:00:00,tiktok,12,16,3489.24
2023-03-01 00:00:00,Google Organic,4,5,1888.73
2023-03-01 00:00:00,Facebook,4,5,1308.31
2023-04-01 00:00:00,google_organic,63,67,17702.79
2023-04-01 00:00:00,facebook_ads,37,49,17577.56
2023-04-01 00:00:00,direct,51,53,13787.70
2023-04-01 00:00:00,Tundmatu / kanal puudub,8,43,13512.20
2023-04-01 00:00:00,email_campaign,36,38,10536.20
2023-04-01 00:00:00,instagram,26,29,9171.44
2023-04-01 00:00:00,tiktok,18,21,7362.32
2023-04-01 00:00:00,google_ads,14,14,3267.90
2023-04-01 00:00:00,Google Organic,5,7,1762.05
2023-05-01 00:00:00,google_organic,73,80,23686.03
2023-05-01 00:00:00,facebook_ads,49,64,18049.23
2023-05-01 00:00:00,email_campaign,34,38,12766.91
2023-05-01 00:00:00,direct,44,44,10996.39
2023-05-01 00:00:00,Tundmatu / kanal puudub,6,42,8634.86
2023-05-01 00:00:00,instagram,23,24,6339.51
2023-05-01 00:00:00,google_ads,18,19,5146.26
2023-05-01 00:00:00,tiktok,13,13,4501.63
2023-05-01 00:00:00,Google Organic,6,9,2149.78
2023-06-01 00:00:00,google_organic,70,84,27562.23
2023-06-01 00:00:00,direct,54,57,19829.20
2023-06-01 00:00:00,Tundmatu / kanal puudub,16,67,18870.10
2023-06-01 00:00:00,facebook_ads,39,57,16941.29
2023-06-01 00:00:00,instagram,41,45,13054.17
2023-06-01 00:00:00,email_campaign,36,44,10667.40
2023-06-01 00:00:00,google_ads,22,24,5849.82
2023-06-01 00:00:00,tiktok,15,17,5377.43
2023-06-01 00:00:00,Google Organic,7,8,2802.82
2023-06-01 00:00:00,Facebook,4,5,1837.85
2023-06-01 00:00:00,google organic,5,5,960.41
2023-07-01 00:00:00,direct,65,74,22954.11
2023-07-01 00:00:00,google_organic,73,75,22836.01
2023-07-01 00:00:00,Tundmatu / kanal puudub,12,58,18114.52
2023-07-01 00:00:00,facebook_ads,40,58,16614.06
2023-07-01 00:00:00,email_campaign,39,44,11822.83
2023-07-01 00:00:00,instagram,40,47,11315.18
2023-07-01 00:00:00,google_ads,27,29,7970.86
2023-07-01 00:00:00,tiktok,16,18,5361.30
2023-07-01 00:00:00,Google Organic,5,5,1353.48
2023-08-01 00:00:00,google_organic,89,94,26898.20
2023-08-01 00:00:00,direct,60,67,16823.81
2023-08-01 00:00:00,facebook_ads,46,59,13663.30
2023-08-01 00:00:00,email_campaign,44,46,13018.22
2023-08-01 00:00:00,Tundmatu / kanal puudub,10,49,12222.79
2023-08-01 00:00:00,google_ads,29,34,11028.17
2023-08-01 00:00:00,instagram,31,33,10646.93
2023-08-01 00:00:00,tiktok,13,16,6514.88
2023-08-01 00:00:00,Google Organic,7,10,3942.42
2023-09-01 00:00:00,direct,50,54,17565.83
2023-09-01 00:00:00,Tundmatu / kanal puudub,14,48,14856.20
2023-09-01 00:00:00,google_organic,53,58,13727.76
2023-09-01 00:00:00,email_campaign,29,35,13385.45
2023-09-01 00:00:00,facebook_ads,35,47,12251.75
2023-09-01 00:00:00,instagram,23,28,10421.64
2023-09-01 00:00:00,google_ads,22,27,7503.36
2023-09-01 00:00:00,tiktok,13,14,2354.54
2023-09-01 00:00:00,Google Organic,5,5,1022.52
2023-10-01 00:00:00,google_organic,78,86,26256.35
2023-10-01 00:00:00,facebook_ads,29,38,14892.11
2023-10-01 00:00:00,email_campaign,34,39,13182.65
2023-10-01 00:00:00,Tundmatu / kanal puudub,8,39,10877.77
2023-10-01 00:00:00,direct,37,40,9499.55
2023-10-01 00:00:00,instagram,25,27,5415.51
2023-10-01 00:00:00,tiktok,11,14,3181.30
2023-10-01 00:00:00,google_ads,12,13,2293.67
2023-10-01 00:00:00,Google Organic,4,7,1670.89
2023-11-01 00:00:00,google_organic,62,63,21246.68
2023-11-01 00:00:00,Tundmatu / kanal puudub,12,63,18557.96
2023-11-01 00:00:00,direct,49,51,13979.77
2023-11-01 00:00:00,facebook_ads,31,37,13793.24
2023-11-01 00:00:00,email_campaign,25,32,10382.89
2023-11-01 00:00:00,instagram,22,26,7130.36
2023-11-01 00:00:00,tiktok,14,17,5840.92
2023-11-01 00:00:00,google_ads,18,18,5653.74
2023-12-01 00:00:00,google_organic,83,89,29428.04
2023-12-01 00:00:00,facebook_ads,59,86,22835.08
2023-12-01 00:00:00,Tundmatu / kanal puudub,13,60,18123.73
2023-12-01 00:00:00,direct,62,66,16418.64
2023-12-01 00:00:00,instagram,32,38,10957.46
2023-12-01 00:00:00,email_campaign,41,45,10778.65
2023-12-01 00:00:00,google_ads,26,29,8980.29
2023-12-01 00:00:00,tiktok,18,20,5256.84
2023-12-01 00:00:00,google organic,4,5,1610.43
2023-12-01 00:00:00,Google Organic,8,8,863.53
2024-01-01 00:00:00,google_organic,63,63,20686.10
2024-01-01 00:00:00,direct,46,48,12448.99
2024-01-01 00:00:00,email_campaign,35,39,10298.16
2024-01-01 00:00:00,Tundmatu / kanal puudub,6,38,9905.66
2024-01-01 00:00:00,facebook_ads,30,41,8131.83
2024-01-01 00:00:00,google_ads,20,22,6582.29
2024-01-01 00:00:00,instagram,19,21,6437.32
2024-01-01 00:00:00,tiktok,16,19,5218.95
2024-02-01 00:00:00,google_organic,64,69,22423.37
2024-02-01 00:00:00,Tundmatu / kanal puudub,13,57,15860.11
2024-02-01 00:00:00,facebook_ads,33,50,12191.58
2024-02-01 00:00:00,direct,43,44,10614.95
2024-02-01 00:00:00,email_campaign,29,31,7906.51
2024-02-01 00:00:00,instagram,20,23,6612.48
2024-02-01 00:00:00,google_ads,20,20,4136.48
2024-02-01 00:00:00,tiktok,13,15,4119.86
2024-02-01 00:00:00,google organic,5,5,1695.31
2024-03-01 00:00:00,facebook_ads,47,67,18537.13
2024-03-01 00:00:00,google_organic,62,65,17581.92
2024-03-01 00:00:00,email_campaign,41,49,15074.63
2024-03-01 00:00:00,Tundmatu / kanal puudub,13,53,14615.29
2024-03-01 00:00:00,instagram,38,43,13279.42
2024-03-01 00:00:00,direct,44,48,10493.01
2024-03-01 00:00:00,google_ads,30,31,5761.90
