kuu,turunduskanal,tellimusi,kogukaive,eelmise_kuu_kaive,muutus_eurodes,muutus_protsent
2023-01-01 00:00:00,direct,47,13966.11,null,null,null
2023-02-01 00:00:00,direct,50,17383.24,13966.11,3417.13,24.5
2023-03-01 00:00:00,direct,61,17356.44,17383.24,-26.80,-0.2
2023-04-01 00:00:00,direct,53,13787.70,17356.44,-3568.74,-20.6
2023-05-01 00:00:00,direct,44,10996.39,13787.70,-2791.31,-20.2
2023-06-01 00:00:00,direct,57,19829.20,10996.39,8832.81,80.3
2023-07-01 00:00:00,direct,74,22954.11,19829.20,3124.91,15.8
2023-08-01 00:00:00,direct,67,16823.81,22954.11,-6130.30,-26.7
2023-09-01 00:00:00,direct,54,17565.83,16823.81,742.02,4.4
2023-10-01 00:00:00,direct,40,9499.55,17565.83,-8066.28,-45.9
2023-11-01 00:00:00,direct,51,13979.77,9499.55,4480.22,47.2
2023-12-01 00:00:00,direct,66,16418.64,13979.77,2438.87,17.4
2024-01-01 00:00:00,direct,48,12448.99,16418.64,-3969.65,-24.2
2024-02-01 00:00:00,direct,44,10614.95,12448.99,-1834.04,-14.7
2024-03-01 00:00:00,direct,48,10493.01,10614.95,-121.94,-1.1
2024-04-01 00:00:00,direct,58,17035.70,10493.01,6542.69,62.4
2024-05-01 00:00:00,direct,63,17593.90,17035.70,558.20,3.3
2024-06-01 00:00:00,direct,78,18923.62,17593.90,1329.72,7.6
2024-07-01 00:00:00,direct,92,25179.55,18923.62,6255.93,33.1
2024-08-01 00:00:00,direct,75,23528.95,25179.55,-1650.60,-6.6
2024-09-01 00:00:00,direct,56,14860.25,23528.95,-8668.70,-36.8
2024-10-01 00:00:00,direct,55,17393.32,14860.25,2533.07,17.0
2024-11-01 00:00:00,direct,66,16488.38,17393.32,-904.94,-5.2
2024-12-01 00:00:00,direct,56,17365.15,16488.38,876.77,5.3
2025-01-01 00:00:00,direct,48,12445.51,17365.15,-4919.64,-28.3
2025-02-01 00:00:00,direct,49,13701.04,12445.51,1255.53,10.1
2023-01-01 00:00:00,email_campaign,24,5903.69,null,null,null
2023-02-01 00:00:00,email_campaign,29,11123.64,5903.69,5219.95,88.4
2023-03-01 00:00:00,email_campaign,32,9130.73,11123.64,-1992.91,-17.9
2023-04-01 00:00:00,email_campaign,38,10536.20,9130.73,1405.47,15.4
2023-05-01 00:00:00,email_campaign,38,12766.91,10536.20,2230.71,21.2
2023-06-01 00:00:00,email_campaign,44,10667.40,12766.91,-2099.51,-16.4
2023-07-01 00:00:00,email_campaign,44,11822.83,10667.40,1155.43,10.8
2023-08-01 00:00:00,email_campaign,46,13018.22,11822.83,1195.39,10.1
2023-09-01 00:00:00,email_campaign,35,13385.45,13018.22,367.23,2.8
2023-10-01 00:00:00,email_campaign,39,13182.65,13385.45,-202.80,-1.5
2023-11-01 00:00:00,email_campaign,32,10382.89,13182.65,-2799.76,-21.2
2023-12-01 00:00:00,email_campaign,45,10778.65,10382.89,395.76,3.8
2024-01-01 00:00:00,email_campaign,39,10298.16,10778.65,-480.49,-4.5
2024-02-01 00:00:00,email_campaign,31,7906.51,10298.16,-2391.65,-23.2
2024-03-01 00:00:00,email_campaign,49,15074.63,7906.51,7168.12,90.7
2024-04-01 00:00:00,email_campaign,38,12875.55,15074.63,-2199.08,-14.6
2024-05-01 00:00:00,email_campaign,34,10481.18,12875.55,-2394.37,-18.6
2024-06-01 00:00:00,email_campaign,46,13536.57,10481.18,3055.39,29.2
2024-07-01 00:00:00,email_campaign,48,15864.37,13536.57,2327.80,17.2
2024-08-01 00:00:00,email_campaign,42,13178.31,15864.37,-2686.06,-16.9
2024-09-01 00:00:00,email_campaign,50,14621.92,13178.31,1443.61,11.0
2024-10-01 00:00:00,email_campaign,42,10936.47,14621.92,-3685.45,-25.2
2024-11-01 00:00:00,email_campaign,35,11585.42,10936.47,648.95,5.9
2024-12-01 00:00:00,email_campaign,61,14722.80,11585.42,3137.38,27.1
2025-01-01 00:00:00,email_campaign,29,6750.71,14722.80,-7972.09,-54.1
2025-02-01 00:00:00,email_campaign,31,8962.22,6750.71,2211.51,32.8
2023-03-01 00:00:00,Facebook,5,1308.31,null,null,null
2023-06-01 00:00:00,Facebook,5,1837.85,1308.31,529.54,40.5
2024-03-01 00:00:00,Facebook,6,1868.80,1837.85,30.95,1.7
2024-08-01 00:00:00,Facebook,7,1390.46,1868.80,-478.34,-25.6
2023-01-01 00:00:00,facebook_ads,42,14598.37,null,null,null
2023-02-01 00:00:00,facebook_ads,42,11554.55,14598.37,-3043.82,-20.9
2023-03-01 00:00:00,facebook_ads,43,12808.28,11554.55,1253.73,10.9
2023-04-01 00:00:00,facebook_ads,49,17577.56,12808.28,4769.28,37.2
2023-05-01 00:00:00,facebook_ads,64,18049.23,17577.56,471.67,2.7
2023-06-01 00:00:00,facebook_ads,57,16941.29,18049.23,-1107.94,-6.1
2023-07-01 00:00:00,facebook_ads,58,16614.06,16941.29,-327.23,-1.9
2023-08-01 00:00:00,facebook_ads,59,13663.30,16614.06,-2950.76,-17.8
2023-09-01 00:00:00,facebook_ads,47,12251.75,13663.30,-1411.55,-10.3
2023-10-01 00:00:00,facebook_ads,38,14892.11,12251.75,2640.36,21.6
2023-11-01 00:00:00,facebook_ads,37,13793.24,14892.11,-1098.87,-7.4
2023-12-01 00:00:00,facebook_ads,86,22835.08,13793.24,9041.84,65.6
2024-01-01 00:00:00,facebook_ads,41,8131.83,22835.08,-14703.25,-64.4
2024-02-01 00:00:00,facebook_ads,50,12191.58,8131.83,4059.75,49.9
2024-03-01 00:00:00,facebook_ads,67,18537.13,12191.58,6345.55,52.0
2024-04-01 00:00:00,facebook_ads,68,17539.46,18537.13,-997.67,-5.4
2024-05-01 00:00:00,facebook_ads,63,16685.57,17539.46,-853.89,-4.9
2024-06-01 00:00:00,facebook_ads,86,27956.09,16685.57,11270.52,67.5
2024-07-01 00:00:00,facebook_ads,82,25997.79,27956.09,-1958.30,-7.0
2024-08-01 00:00:00,facebook_ads,86,22977.93,25997.79,-3019.86,-11.6
2024-09-01 00:00:00,facebook_ads,74,20541.39,22977.93,-2436.54,-10.6
2024-10-01 00:00:00,facebook_ads,49,17480.81,20541.39,-3060.58,-14.9
2024-11-01 00:00:00,facebook_ads,64,16726.51,17480.81,-754.30,-4.3
2024-12-01 00:00:00,facebook_ads,106,34178.78,16726.51,17452.27,104.3
2025-01-01 00:00:00,facebook_ads,48,13563.86,34178.78,-20614.92,-60.3
2025-02-01 00:00:00,facebook_ads,52,13826.21,13563.86,262.35,1.9
2024-03-01 00:00:00,FB,6,2286.41,null,null,null
2024-12-01 00:00:00,google,5,928.96,null,null,null
2024-04-01 00:00:00,Google,8,1082.16,null,null,null
2024-05-01 00:00:00,Google,5,745.11,1082.16,-337.05,-31.1
2024-07-01 00:00:00,Google,9,2153.13,745.11,1408.02,189.0
2024-08-01 00:00:00,Google,8,2137.20,2153.13,-15.93,-0.7
2024-09-01 00:00:00,Google,7,1770.23,2137.20,-366.97,-17.2
2024-11-01 00:00:00,Google,5,945.57,1770.23,-824.66,-46.6
2024-12-01 00:00:00,Google,7,2215.81,945.57,1270.24,134.3
2023-02-01 00:00:00,google organic,6,1324.40,null,null,null
2023-06-01 00:00:00,google organic,5,960.41,1324.40,-363.99,-27.5
2023-12-01 00:00:00,google organic,5,1610.43,960.41,650.02,67.7
2024-02-01 00:00:00,google organic,5,1695.31,1610.43,84.88,5.3
2024-06-01 00:00:00,google organic,6,1998.01,1695.31,302.70,17.9
2024-07-01 00:00:00,google organic,7,3516.06,1998.01,1518.05,76.0
2024-10-01 00:00:00,google organic,7,2296.17,3516.06,-1219.89,-34.7
2025-02-01 00:00:00,google organic,6,1254.18,2296.17,-1041.99,-45.4
2023-03-01 00:00:00,Google Organic,5,1888.73,null,null,null
2023-04-01 00:00:00,Google Organic,7,1762.05,1888.73,-126.68,-6.7
2023-05-01 00:00:00,Google Organic,9,2149.78,1762.05,387.73,22.0
2023-06-01 00:00:00,Google Organic,8,2802.82,2149.78,653.04,30.4
2023-07-01 00:00:00,Google Organic,5,1353.48,2802.82,-1449.34,-51.7
2023-08-01 00:00:00,Google Organic,10,3942.42,1353.48,2588.94,191.3
2023-09-01 00:00:00,Google Organic,5,1022.52,3942.42,-2919.90,-74.1
2023-10-01 00:00:00,Google Organic,7,1670.89,1022.52,648.37,63.4
2023-12-01 00:00:00,Google Organic,8,863.53,1670.89,-807.36,-48.3
2024-03-01 00:00:00,Google Organic,7,2135.55,863.53,1272.02,147.3
2024-04-01 00:00:00,Google Organic,8,1181.71,2135.55,-953.84,-44.7
2024-05-01 00:00:00,Google Organic,7,2731.31,1181.71,1549.60,131.1
2024-06-01 00:00:00,Google Organic,11,2516.96,2731.31,-214.35,-7.8
2024-07-01 00:00:00,Google Organic,8,2401.10,2516.96,-115.86,-4.6
2024-08-01 00:00:00,Google Organic,12,3843.09,2401.10,1441.99,60.1
2024-09-01 00:00:00,Google Organic,8,2728.33,3843.09,-1114.76,-29.0
2024-10-01 00:00:00,Google Organic,10,3508.93,2728.33,780.60,28.6
2024-11-01 00:00:00,Google Organic,6,2475.14,3508.93,-1033.79,-29.5
2024-12-01 00:00:00,Google Organic,6,2160.09,2475.14,-315.05,-12.7
2025-01-01 00:00:00,Google Organic,7,1790.73,2160.09,-369.36,-17.1
2025-02-01 00:00:00,Google Organic,10,3124.66,1790.73,1333.93,74.5
2023-01-01 00:00:00,google_ads,17,3739.66,null,null,null
2023-02-01 00:00:00,google_ads,20,5040.16,3739.66,1300.50,34.8
2023-03-01 00:00:00,google_ads,20,4199.39,5040.16,-840.77,-16.7
2023-04-01 00:00:00,google_ads,14,3267.90,4199.39,-931.49,-22.2
2023-05-01 00:00:00,google_ads,19,5146.26,3267.90,1878.36,57.5
2023-06-01 00:00:00,google_ads,24,5849.82,5146.26,703.56,13.7
2023-07-01 00:00:00,google_ads,29,7970.86,5849.82,2121.04,36.3
2023-08-01 00:00:00,google_ads,34,11028.17,7970.86,3057.31,38.4
2023-09-01 00:00:00,google_ads,27,7503.36,11028.17,-3524.81,-32.0
2023-10-01 00:00:00,google_ads,13,2293.67,7503.36,-5209.69,-69.4
2023-11-01 00:00:00,google_ads,18,5653.74,2293.67,3360.07,146.5
2023-12-01 00:00:00,google_ads,29,8980.29,5653.74,3326.55,58.8
2024-01-01 00:00:00,google_ads,22,6582.29,8980.29,-2398.00,-26.7
2024-02-01 00:00:00,google_ads,20,4136.48,6582.29,-2445.81,-37.2
2024-03-01 00:00:00,google_ads,31,5761.90,4136.48,1625.42,39.3
2024-04-01 00:00:00,google_ads,34,11622.08,5761.90,5860.18,101.7
2024-05-01 00:00:00,google_ads,35,11396.16,11622.08,-225.92,-1.9
2024-06-01 00:00:00,google_ads,39,9936.17,11396.16,-1459.99,-12.8
2024-07-01 00:00:00,google_ads,30,12037.93,9936.17,2101.76,21.2
2024-08-01 00:00:00,google_ads,41,10641.98,12037.93,-1395.95,-11.6
2024-09-01 00:00:00,google_ads,18,3820.22,10641.98,-6821.76,-64.1
2024-10-01 00:00:00,google_ads,24,8523.05,3820.22,4702.83,123.1
