turunduskanal,kliente,tellimusi,kogukaive,keskmine_tellimus
google_organic,1580,5378,8633299.08,286.06
direct,1173,3864,5994387.01,280.16
facebook_ads,1016,3864,5048811.46,283.64
email_campaign,745,2787,3987955.39,288.73
instagram,801,2664,3406399.64,285.29
google_ads,586,2050,2326759.40,286.34
tiktok,388,1415,1984428.91,286.56
google organic,361,1336,480278.38,292.67
Google Organic,351,1276,445980.98,286.80
Google,330,1207,395012.83,287.07
google,336,1109,381381.39,292.92
Facebook,175,719,225445.03,292.79
IG,146,589,194611.43,297.12
FB,168,551,177806.28,277.39
Facebook Ads,155,545,177141.52,305.42
fb_ads,163,527,154429.06,266.72
ig_ads,139,431,142434.17,286.01
Instagram,126,490,142177.44,267.25
instagram_ads,125,423,132207.80,279.51
Tundmatu / kanal puudub,90,350,96680.99,276.23
