week,revenue,orders,avg_order_value
2022-12-26,3424.32,9,380.48
2023-01-02,16908.79,64,264.19984375
2023-01-09,18062.69,51,354.1703921568627
2023-01-16,18994.68,52,365.2823076923077
2023-01-23,14058.45,46,305.6184782608696
2023-01-30,15712.37,53,296.45981132075474
2023-02-06,13005.36,50,260.10720000000003
2023-02-13,23096.21,76,303.8975
2023-02-20,17667.99,64,276.06234375
2023-02-27,18373.67,63,291.6455555555555
2023-03-06,25681.91,74,347.05283783783784
2023-03-13,20756.87,77,269.56974025974023
2023-03-20,20928.11,76,275.3698684210526
2023-03-27,17418.1,60,290.3016666666666
2023-04-03,20768.31,68,305.4163235294118
2023-04-10,23351.96,72,324.3327777777778
2023-04-17,20460.4,65,314.7753846153846
2023-04-24,21198.05,79,268.329746835443
2023-05-01,17407.5,69,252.2826086956522
2023-05-08,21696.73,71,305.5877464788732
2023-05-15,24894.7,66,377.19242424242424
2023-05-22,22079.22,69,319.98869565217393
2023-05-29,20229.55,73,277.11712328767123
2023-06-05,30619.72,96,318.9554166666667
2023-06-12,21962.78,79,278.0098734177215
2023-06-19,25970.56,85,305.536
2023-06-26,26377.34,79,333.89037974683544
2023-07-03,20879.19,70,298.27414285714286
2023-07-10,25792.489999999998,87,296.46540229885056
2023-07-17,27606.66,97,284.60474226804126
2023-07-24,24997.87,95,263.1354736842105
2023-07-31,21816.5,77,283.33116883116884
2023-08-07,21275.82,81,262.6644444444444
2023-08-14,28476.82,89,319.96426966292137
2023-08-21,25811.56,82,314.77512195121955
2023-08-28,26208.13,93,281.8078494623656
2023-09-04,21303.28,77,276.66597402597404
2023-09-11,19454.03,60,324.23383333333334
2023-09-18,21616.57,68,317.89073529411763
2023-09-25,16561.18,55,301.1123636363636
2023-10-02,21138.98,75,281.8530666666667
2023-10-09,17545.44,64,274.1475
2023-10-16,22086.02,68,324.7944117647059
2023-10-23,16371.93,59,277.49033898305083
2023-10-30,24212.0,70,345.8857142857143
2023-11-06,22349.23,70,319.27471428571425
2023-11-13,19952.79,69,289.1708695652174
2023-11-20,21171.99,52,407.1536538461539
2023-11-27,16991.5,67,253.6044776119403
2023-12-04,29858.43,91,328.1146153846154
2023-12-11,32638.64,104,313.83307692307693
2023-12-18,23751.43,86,276.1794186046512
2023-12-25,26153.58,89,293.8604494382023
2024-01-01,16567.37,52,318.60326923076923
2024-01-08,20285.94,75,270.4792
2024-01-15,20923.940000000002,62,337.48290322580647
2024-01-22,17283.51,64,270.05484375
2024-01-29,17204.87,67,256.78910447761194
2024-02-05,19791.97,74,267.4590540540541
2024-02-12,18102.18,66,274.2754545454545
2024-02-19,16816.170000000002,55,305.7485454545455
2024-02-26,29066.88,97,299.65855670103093
2024-03-04,20219.170000000002,79,255.9388607594937
2024-03-11,23837.84,76,313.6557894736842
2024-03-18,23911.82,84,284.6645238095238
2024-03-25,19305.39,77,250.71935064935064
2024-04-01,23624.08,77,306.8062337662338
2024-04-08,25326.61,89,284.56865168539326
2024-04-15,24043.92,85,282.8696470588235
2024-04-22,26890.11,84,320.12035714285713
2024-04-29,25357.28,84,301.8723809523809
2024-05-06,25701.47,85,302.37023529411766
2024-05-13,21184.72,80,264.809
2024-05-20,23725.85,83,285.8536144578313
2024-05-27,25614.35,81,316.2265432098765
2024-06-03,32741.71,98,334.09908163265305
2024-06-10,27722.35,103,269.1490291262136
2024-06-17,24358.37,95,256.4038947368421
2024-06-24,34020.73,118,288.3112711864407
2024-07-01,29354.7,108,271.8027777777778
2024-07-08,31092.05,97,320.5365979381443
2024-07-15,30909.670000000002,98,315.40479591836737
2024-07-22,32766.83,116,282.47267241379313
2024-07-29,30233.38,92,328.6236956521739
2024-08-05,29334.49,95,308.7841052631579
2024-08-12,30456.29,112,271.93116071428574
2024-08-19,28667.04,100,286.67040000000003
2024-08-26,31493.66,110,286.306
2024-09-02,20946.420000000002,82,255.44414634146344
2024-09-09,24214.170000000002,74,327.2185135135135
2024-09-16,24724.75,82,301.5213414634146
2024-09-23,24307.3,87,279.39425287356323
2024-09-30,25818.75,71,363.6443661971831
2024-10-07,23669.03,79,299.6079746835443
2024-10-14,25758.43,69,373.3105797101449
2024-10-21,34764.71,100,347.64709999999997
2024-10-28,25901.75,86,301.1831395348837
2024-11-04,19194.5,64,299.9140625
2024-11-11,26083.19,91,286.6284615384615
2024-11-18,20417.44,71,287.5695774647887
2024-11-25,28346.52,90,314.96133333333336
2024-12-02,39046.62,114,342.5142105263158
2024-12-09,35435.15,104,340.72259615384615
2024-12-16,27218.920000000002,102,266.8521568627451
2024-12-23,35202.25,116,303.4676724137931
2024-12-30,27144.16,97,279.8367010309278
2025-01-06,24342.21,74,328.94878378378377
2025-01-13,22281.15,58,384.15775862068966
2025-01-20,16919.47,57,296.83280701754387
2025-01-27,21180.13,65,325.8481538461539
2025-02-03,22232.96,76,292.538947368421
2025-02-10,18115.31,76,238.35934210526318
2025-02-17,26331.97,97,271.4636082474227
2025-02-24,14365.02,42,342.0242857142857
